goal_id,customer_id,goal_name,target_amount,duration_months,monthly_required,start_date
GOAL9DB818,CUSTE2483D,Emergency Fund,73200.0,6,12200.0,2026-01-01
GOAL435A2E,CUST246E67,Home Down Payment,641500.0,24,26729.17,2026-01-01
GOALDAFB41,CUSTA09879,Emergency Fund,20600.0,6,3433.33,2026-01-01
GOALA737EF,CUSTA09879,Wedding,109500.0,24,4562.5,2026-01-01
GOAL3F9929,CUST2FE7E1,Wedding,211300.0,23,9186.96,2026-01-01
GOAL69DAB0,CUSTC63A8C,Wedding,271300.0,12,22608.33,2026-01-01
GOAL4FB8DF,CUSTC63A8C,Home Down Payment,711900.0,41,17363.41,2026-01-01
GOAL0A82B3,CUST473800,Emergency Fund,39000.0,8,4875.0,2026-01-01
GOAL2819CF,CUST1CF577,Home Down Payment,186100.0,50,3722.0,2026-01-01
GOAL1AAC9D,CUST1CF577,Vacation,23400.0,5,4680.0,2026-01-01
GOALE4DECC,CUST52E49C,Home Down Payment,235300.0,42,5602.38,2026-01-01
GOALD7DB97,CUST71F708,Home Down Payment,524800.0,60,8746.67,2026-01-01
GOAL506E75,CUST71F708,Emergency Fund,62700.0,9,6966.67,2026-01-01
GOAL9841FC,CUST825C9D,Emergency Fund,77200.0,6,12866.67,2026-01-01
GOAL129514,CUST5A28E8,Home Down Payment,193200.0,34,5682.35,2026-01-01
GOAL70F9A7,CUST5A28E8,Emergency Fund,30800.0,12,2566.67,2026-01-01
GOAL6180D8,CUST1F20C2,Wedding,272100.0,15,18140.0,2026-01-01
GOALA15F55,CUST71E783,Home Down Payment,274800.0,43,6390.7,2026-01-01
GOALEFBC04,CUSTC0E2A0,Home Down Payment,260300.0,40,6507.5,2026-01-01
GOALBD3082,CUSTC0E2A0,Vacation,24900.0,9,2766.67,2026-01-01
GOALAC2FAA,CUSTEBAC93,New Car,90200.0,13,6938.46,2026-01-01
GOAL9FB0C7,CUST07972B,New Car,168800.0,26,6492.31,2026-01-01
GOALDF67C2,CUST07972B,Emergency Fund,52600.0,11,4781.82,2026-01-01
GOAL72871E,CUST247CF8,Wedding,195000.0,21,9285.71,2026-01-01
GOAL361EC2,CUST209159,Wedding,182500.0,16,11406.25,2026-01-01
GOAL837656,CUST78B23C,Emergency Fund,59000.0,11,5363.64,2026-01-01
GOAL16462D,CUSTCC6448,Emergency Fund,23800.0,9,2644.44,2026-01-01
GOAL69CA97,CUSTFE16F7,New Car,78900.0,20,3945.0,2026-01-01
GOALC253C5,CUSTFE16F7,Vacation,40200.0,8,5025.0,2026-01-01
GOAL00EB48,CUST7FAB0D,Wedding,319700.0,13,24592.31,2026-01-01
GOAL0E85FB,CUST7FAB0D,Emergency Fund,67200.0,8,8400.0,2026-01-01
GOALF28B15,CUST647766,Home Down Payment,158600.0,39,4066.67,2026-01-01
GOAL98990B,CUSTA4E617,New Car,177600.0,35,5074.29,2026-01-01
GOAL48D7E1,CUSTA4E617,Home Down Payment,831100.0,46,18067.39,2026-01-01
GOAL0B3476,CUST244590,Home Down Payment,92400.0,45,2053.33,2026-01-01
GOALF6700D,CUST244590,Wedding,59500.0,14,4250.0,2026-01-01
GOAL79F786,CUST78D97B,Emergency Fund,64900.0,6,10816.67,2026-01-01
GOAL37604A,CUST78D97B,New Car,284700.0,20,14235.0,2026-01-01
