transaction_id,customer_id,date,category,description,amount,direction,balance_after,is_anomaly
995240a0-f,CUSTE2483D,2026-01-01,Salary,MONTHLY SALARY CREDIT,27700.0,credit,31750.71,False
75f00636-0,CUSTE2483D,2026-01-01,Savings Transfer,TRANSFER TO SAVINGS ACCT,370.97,debit,31379.74,False
561dd580-5,CUSTE2483D,2026-01-02,Groceries,CARREFOUR HYPERMARKET,1076.09,debit,30303.65,False
2a5c620b-b,CUSTE2483D,2026-01-02,Shopping,MALL PURCHASE - POS,238.67,debit,30064.98,False
16b798cf-a,CUSTE2483D,2026-01-03,Subscriptions,SPOTIFY AB,615.98,debit,29449.0,False
8d854166-f,CUSTE2483D,2026-01-03,Savings Transfer,INTERNAL XFER - SAVINGS,152.42,debit,29296.58,False
080be2b7-1,CUSTE2483D,2026-01-04,Healthcare,LAB TEST PAYMENT,1087.39,debit,28209.19,False
79adf90a-4,CUSTE2483D,2026-01-06,Groceries,POS PURCHASE - LOCAL MARKET,393.55,debit,27815.64,False
f4ca976f-7,CUSTE2483D,2026-01-06,Entertainment,CINEMA TICKET PURCHASE,436.88,debit,27378.76,False
977737eb-8,CUSTE2483D,2026-01-06,Entertainment,GAMING STORE PURCHASE,1271.56,debit,26107.2,False
afc42b8a-b,CUSTE2483D,2026-01-06,Healthcare,LAB TEST PAYMENT,152.23,debit,25954.97,False
921ba31e-3,CUSTE2483D,2026-01-07,Utilities,Internet Bill - NBE,1280.85,debit,24674.12,False
15c3f616-2,CUSTE2483D,2026-01-11,Groceries,CARREFOUR HYPERMARKET,1725.84,debit,22948.28,False
881670c5-7,CUSTE2483D,2026-01-12,Dining/Restaurants,CAFE PURCHASE,499.77,debit,22448.51,False
85323134-e,CUSTE2483D,2026-01-17,Healthcare,PHARMACY PURCHASE,39.07,debit,22409.44,False
3f8d129c-1,CUSTE2483D,2026-01-22,Dining/Restaurants,MCDONALDS #782,253.94,debit,22155.5,False
7b7136e6-7,CUSTE2483D,2026-01-22,Shopping,AMAZON.EG ORDER,447.85,debit,21707.65,False
d2157009-3,CUSTE2483D,2026-01-23,Transportation,UBER *TRIP 658,213.45,debit,21494.2,False
ecbdffff-9,CUSTE2483D,2026-01-24,Rent/Installment,Monthly Rent Transfer,9122.85,debit,12371.35,False
fa30792a-e,CUSTE2483D,2026-01-24,Healthcare,CLINIC VISIT FEE,41.13,debit,12330.22,False
6888f8fa-3,CUSTE2483D,2026-01-26,Dining/Restaurants,MCDONALDS #466,32.9,debit,12297.32,False
b36ed1c5-8,CUSTE2483D,2026-01-26,Entertainment,GAMING STORE PURCHASE,137.0,debit,12160.32,False
2e1c7825-c,CUSTE2483D,2026-01-27,Groceries,SPINNEYS #145,1089.66,debit,11070.66,False
2b571d08-e,CUSTE2483D,2026-01-27,Transportation,CAREEM RIDE,1694.54,debit,9376.12,False
68ae620d-8,CUSTE2483D,2026-01-27,Shopping,MALL PURCHASE - POS,334.84,debit,9041.28,False
c77b7643-e,CUSTE2483D,2026-01-27,Shopping,AMAZON.EG ORDER,477.86,debit,8563.42,False
58777c74-9,CUSTE2483D,2026-02-03,Salary,MONTHLY SALARY CREDIT,27700.0,credit,36263.42,False
67167b4e-2,CUSTE2483D,2026-02-03,Transportation,CAREEM RIDE,394.41,debit,35869.01,False
1dc50869-f,CUSTE2483D,2026-02-07,Dining/Restaurants,CAFE PURCHASE,681.75,debit,35187.26,False
0ecf60e6-d,CUSTE2483D,2026-02-08,Entertainment,CINEMA TICKET PURCHASE,909.33,debit,34277.93,False
aae3b922-c,CUSTE2483D,2026-02-08,Healthcare,CLINIC VISIT FEE,334.04,debit,33943.89,False
497bc387-9,CUSTE2483D,2026-02-08,Savings Transfer,INTERNAL XFER - SAVINGS,27.92,debit,33915.97,False
d81cbe84-7,CUSTE2483D,2026-02-09,Healthcare,PHARMACY PURCHASE,618.54,debit,33297.43,False
0f9f2bc4-9,CUSTE2483D,2026-02-09,Healthcare,LAB TEST PAYMENT,350.5,debit,32946.93,False
eb911488-7,CUSTE2483D,2026-02-11,Utilities,WATER CO. AUTOPAY,1384.01,debit,31562.92,False
dc191eed-c,CUSTE2483D,2026-02-15,Dining/Restaurants,POS - LOCAL RESTAURANT,80.87,debit,31482.05,False
7a90714a-3,CUSTE2483D,2026-02-16,Transportation,FUEL STATION PURCHASE,368.93,debit,31113.12,False
d628d607-2,CUSTE2483D,2026-02-16,Dining/Restaurants,CAFE PURCHASE,36.95,debit,31076.17,False
b30fd4fa-0,CUSTE2483D,2026-02-17,Entertainment,NETFLIX PPV CHARGE,525.98,debit,30550.19,False
5eaf21bf-7,CUSTE2483D,2026-02-18,Shopping,ONLINE STORE CHECKOUT,728.72,debit,29821.47,False
cd36c1e1-6,CUSTE2483D,2026-02-18,Savings Transfer,TRANSFER TO SAVINGS ACCT,158.09,debit,29663.38,False
395538bd-8,CUSTE2483D,2026-02-19,Groceries,SPINNEYS #515,2170.75,debit,27492.63,False
58ab4b61-9,CUSTE2483D,2026-02-21,Transportation,FUEL STATION PURCHASE,39.41,debit,27453.22,False
ccaf7d4e-f,CUSTE2483D,2026-02-22,Groceries,POS PURCHASE - LOCAL MARKET,1755.44,debit,25697.78,False
13c07a3f-5,CUSTE2483D,2026-02-23,Savings Transfer,TRANSFER TO SAVINGS ACCT,395.8,debit,25301.98,False
0de6b451-f,CUSTE2483D,2026-02-24,Rent/Installment,Home Loan Installment - AUTOPAY,9052.27,debit,16249.71,False
35cb9185-c,CUSTE2483D,2026-02-24,Subscriptions,GYM MEMBERSHIP AUTOPAY,659.04,debit,15590.67,False
dd08ba12-1,CUSTE2483D,2026-02-25,Entertainment,CINEMA TICKET PURCHASE,248.48,debit,15342.19,False
63cc6d7c-6,CUSTE2483D,2026-02-26,Shopping,MALL PURCHASE - POS,611.97,debit,14730.22,False
2b6a3209-6,CUSTE2483D,2026-02-27,Groceries,CARREFOUR HYPERMARKET,248.99,debit,14481.23,False
7548942e-3,CUSTE2483D,2026-02-27,Transportation,UBER *TRIP 788,923.63,debit,13557.6,False
e439d1e0-4,CUSTE2483D,2026-03-02,Salary,MONTHLY SALARY CREDIT,27700.0,credit,41257.6,False
4f223af0-4,CUSTE2483D,2026-03-03,Transportation,FUEL STATION PURCHASE,713.84,debit,40543.76,False
749b5fd9-c,CUSTE2483D,2026-03-03,Savings Transfer,TRANSFER TO SAVINGS ACCT,316.12,debit,40227.64,False
bee4d873-8,CUSTE2483D,2026-03-08,Groceries,SPINNEYS #324,384.94,debit,39842.7,False
13aae63f-2,CUSTE2483D,2026-03-08,Dining/Restaurants,MCDONALDS #959,137.76,debit,39704.94,False
10e19acf-b,CUSTE2483D,2026-03-09,Transportation,CAREEM RIDE,117.15,debit,39587.79,False
ea5fa6f0-b,CUSTE2483D,2026-03-09,Healthcare,CLINIC VISIT FEE,47.39,debit,39540.4,False
27a259bd-8,CUSTE2483D,2026-03-09,Savings Transfer,TRANSFER TO SAVINGS ACCT,16.34,debit,39524.06,False
7fe9161e-7,CUSTE2483D,2026-03-10,Entertainment,CINEMA TICKET PURCHASE,807.13,debit,38716.93,False
d0109b41-4,CUSTE2483D,2026-03-10,Entertainment,GAMING STORE PURCHASE,169.37,debit,38547.56,False
4cedffb7-8,CUSTE2483D,2026-03-11,Groceries,POS PURCHASE - LOCAL MARKET,253.36,debit,38294.2,False
f627d611-2,CUSTE2483D,2026-03-11,Healthcare,PHARMACY PURCHASE,129.19,debit,38165.01,False
2eed7ca9-9,CUSTE2483D,2026-03-11,Savings Transfer,INTERNAL XFER - SAVINGS,98.14,debit,38066.87,False
2e9c0522-4,CUSTE2483D,2026-03-12,Dining/Restaurants,MCDONALDS #765,15.67,debit,38051.2,False
ae5512b7-3,CUSTE2483D,2026-03-12,Subscriptions,GYM MEMBERSHIP AUTOPAY,593.67,debit,37457.53,False
a788657e-a,CUSTE2483D,2026-03-13,Utilities,Internet Bill - NBE,1428.47,debit,36029.06,False
a67398f2-4,CUSTE2483D,2026-03-13,Entertainment,GAMING STORE PURCHASE,123.85,debit,35905.21,False
03edb5ee-8,CUSTE2483D,2026-03-14,Groceries,SPINNEYS #129,2060.96,debit,33844.25,False
57593d36-a,CUSTE2483D,2026-03-14,Shopping,ONLINE STORE CHECKOUT,641.81,debit,33202.44,False
d6a729aa-a,CUSTE2483D,2026-03-15,Rent/Installment,Home Loan Installment - NBE,8176.95,debit,25025.49,False
671928e8-7,CUSTE2483D,2026-03-15,Transportation,CAREEM RIDE,36.91,debit,24988.58,False
bb8b6e85-b,CUSTE2483D,2026-03-16,Dining/Restaurants,CAFE PURCHASE,372.44,debit,24616.14,False
4b659e7b-d,CUSTE2483D,2026-03-16,Savings Transfer,TRANSFER TO SAVINGS ACCT,28.67,debit,24587.47,False
